Location,Position,Details,Number,lng,lat
Algiers - Algeria,RLA/ILA,OPDAT RLA and FSN,2,3.21,36.76
Dhaka - Bangladesh,RLA/ILA,OPDAT RLA and FSN; GCTF-funded ILA,3,90.37,23.7
Addis Ababa - Ethiopia,RLA/ILA,RLA,1,38.74,9.03
Jakarta - Indonesia ,RLA/ILA,RLA,1,106.8,-6.2
Baghdad - Iraq,RLA/ILA,RLA,1,44.42,33.32
Nairobi - Kenya,RLA/ILA,RLA and FSN,2,36.81,-1.28
Kuala Lumpur - Malaysia,RLA/ILA,RLA and FSN,2,101.68,3.13
Male - Maldives ,RLA/ILA,ILA,1,73.5,4.17
Valletta - Malta,RLA/ILA,RLA,1,14.51,35.89
Nouakchott - Mauritania,RLA/ILA,RLA and FSN,2,-15.95,18.1
Niamey - Niger,RLA/ILA,RLA and FSN,2,2.1,13.52
Valletta - Malta,RLA/ILA,North Africa ILA - based in Malta,1,14.51,35.89
Panama - Panama,RLA/ILA,RLA,1,-79.53,8.96
Asuncion - Paraguay,RLA/ILA,RLA from several ILA funding streams that will be posted in both Colombia and Paraguay,1,-57.63,-25.28
Manila - Philippines,RLA/ILA,RLA,1,120.96,14.58
Dakar - Senegal,RLA/ILA,RLA,1,-17.44,14.69
Ankara - Turkey,RLA/ILA,RLA and FSN,2,32.93,32.86
Abu Dhabi - UAE,RLA/ILA,RLA and FSN,2,54.36,24.46
Islamabad - Pakistan,RLA/ILA,RLA,1,73.06,33.71
Bogota - Colombia,RLA/ILA,RLA from several ILA funding streams that will be posted in both Colombia and Paraguay,1,-74.07,4.59
